NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
443410219;FS;PETSANA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;GOVERNMENT;GOVERNMENT;28,43915236;-27,80387664;Nketoana;Reitz NU;Petsana Location;Petsana Location;REITZ;260 School Street, Petsana Location, Petsana Location, REITZ, 9810;Q2;NULL;YES;Urban;1192;33
443410330;FS;REITZ C/S;OPEN;PUBLIC;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;GOVERNMENT;GOVERNMENT;28,42398;-27,80062837;Nketoana;Reitz NU;;;REITZ;Davelstraat, , , REITZ, 9810;Q5;NULL;NO;Urban;431;28
443410365;FS;REITZ CHRISTIAN ACADEMY CI/S;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;INDEPENDENT;INDEPENDENT;28,43077472;-27,79492579;Nketoana;Reitz NU;REITZ;REITZ;REITZ;President CR Swart Street 682, REITZ, REITZ, REITZ, 9810;N/A;NULL;NO;Urban;81;2
443503106;FS;THABO-VUYO S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;XHARIEP;1;GOVERNMENT;GOVERNMENT;26,83138813;-30,4029878;Mohokare;Rouxville SP;;;ROUXVILLE;401 REXE, , , ROUXVILLE, 9958;Q2;NULL;YES;Urban;827;26
443503137;FS;JB TYU P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;XHARIEP;1;GOVERNMENT;GOVERNMENT;26,8275799;-30,40596299;Mohokare;Role-le-ya-Thunya SP;ROUXVILLE;ROUXVILLE;ROUXVILLE;142 NTOBELA STREET, ROUXVILLE, ROUXVILLE, ROUXVILLE, 9958;Q2;NULL;YES;Urban;777;27
443503210;FS;ROUXVILLE P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;XHARIEP;1;GOVERNMENT;GOVERNMENT;26,83971076;-30,42242514;Mohokare;Smithfield NU;;;ROUXVILLE;Marais street, , , ROUXVILLE, 9958;Q2;NULL;YES;Urban;506;15
443503229;FS;NALEDI I/S;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;XHARIEP;1;GOVERNMENT;GOVERNMENT;26,83588782;-30,42085301;Mohokare;Rouxville SP;;;ROUXVILLE;CHASE STREET, , , ROUXVILLE, 9958;Q1;NULL;YES;Urban;479;18
443611045;FS;MALAKABENG P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,848549;-26,838593;Metsimaholo;Zamdela SP;sasolburg;sasolburg;SASOLBURG;2000 Moroka Street, sasolburg, sasolburg, SASOLBURG, 1949;Q3;NULL;YES;Urban;822;26
443611068;FS;NKGOPOLENG S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,84564165;-26,84370588;Metsimaholo;Zamdela SP;ZAMDELA;ZAMDELA;SASOLBURG;667 DIKGUTSANENG SECTION, ZAMDELA, ZAMDELA, SASOLBURG, 1949;Q3;NULL;YES;Urban;1430;55
443611132;FS;BOFULA TSHEPE P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,85072561;-26,84242483;Metsimaholo;Zamdela SP;ZAMDELA;ZAMDELA;SASOLBURG;3244 TAYLOR PARK, ZAMDELA, ZAMDELA, SASOLBURG, 1947;Q3;NULL;YES;Urban;1459;43
443611134;FS;IKETSETSENG CS/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;COMPREHENSIVE;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,855282;-26,845042;Metsimaholo;Zamdela SP;ZAMDELA;ZAMDELA;SASOLBURG;3998 TAYLOR PARK, ZAMDELA, ZAMDELA, SASOLBURG, 1947;Q3;NULL;YES;Urban;1683;69
443611141;FS;LE NOTSI S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;4;GOVERNMENT;GOVERNMENT;28,06905066;-26,89815298;Metsimaholo;Refengkgotso SP;Refengkgotso;Refengkgotso;DENEYSVILLE;1471 REFENGKGOTSO , Refengkgotso, Refengkgotso, DENEYSVILLE, 1932;Q2;NULL;YES;Urban;1169;33
443611156;FS;ISAAC MHLAMBI P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,86237742;-26,84650825;Metsimaholo;Zamdela SP;Sasolburg;Sasolburg;SASOLBURG;6207 CHRIS HANI, Sasolburg, Sasolburg, SASOLBURG, 1949;Q3;NULL;YES;Urban;1195;33
443611161;FS;BOKANTSHO P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;4;GOVERNMENT;GOVERNMENT;27,93542;-26,751825;Metsimaholo;Sasolburg NU;VILJOENSDRIF;VILJOENSDRIF;VILJOENSDRIFT;12 VAAL POWER STATION, VILJOENSDRIF, VILJOENSDRIF, VILJOENSDRIFT, 1930;Q3;NULL;YES;Urban;203;9
443611162;FS;PELE-YA-PELE S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;4;GOVERNMENT;GOVERNMENT;27,9483634;-26,75839313;Metsimaholo;Vaal Power SP;;;VILJOENSDRIFT;Vaal Power, , , VILJOENSDRIFT, 1930;Q3;NULL;YES;Urban;629;21
443611168;FS;CEDAR S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,86079429;-26,84356293;Metsimaholo;Sasolburg Ext 4;ZAMDELA;ZAMDELA;SASOLBURG;6288 Chris Hani , ZAMDELA , ZAMDELA , SASOLBURG, 1949;Q3;NULL;YES;Urban;1129;36
443611170;FS;VAAL CHRISTIAN CI/S;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;FEZILE DABI;4;INDEPENDENT;INDEPENDENT;27,94600719;-26,7607406;Metsimaholo;Bertha Village SP;R716 DENEYSVILLE ROAD;R716 DENEYSVILLE ROAD;VILJOENSDRIFT;Old Vaal Power Station, R716 DENEYSVILLE ROAD, R716 DENEYSVILLE ROAD, VILJOENSDRIFT, 9580;N/A;NULL;NO;Urban;587;32
443611172;FS;THEHA SETJHABA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,85505506;-26,85325762;Metsimaholo;Zamdela SP;Sasolburg;Sasolburg;SASOLBURG;4750 Sommerspost, Sasolburg, Sasolburg, SASOLBURG, 1947;Q2;NULL;YES;Urban;1309;38
443611174;FS;NELSON MANDELA P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,87717743;-26,85113349;Metsimaholo;Zamdela SP;ZAMDELA;ZAMDELA;SASOLBURG;11397 RUTH FIRST, ZAMDELA, ZAMDELA, SASOLBURG, 1947;Q3;NULL;YES;Urban;1498;51
443611175;FS;LEHUTSO P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;3;GOVERNMENT;GOVERNMENT;27,85571569;-26,86173902;Metsimaholo;Zamdela SP;ZAMDELA;ZAMDELA;SASOLBURG;13315 SNAKE PARK , ZAMDELA, ZAMDELA, SASOLBURG, 1949;Q2;NULL;YES;Urban;1683;51
443611181;FS;NOMSA S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FEZILE DABI;4;GOVERNMENT;GOVERNMENT;28,07032932;-26,89924849;Metsimaholo;Refengkgotso SP;Refengkgotso;Refengkgotso;DENEYSVILLE;3281, Refengkgotso, Refengkgotso, DENEYSVILLE, 1932;Q2;NULL;YES;Urban;794;30
